Unique ID,Exempt Code,Address,Owner Or Facility,,Volume And Page,Acreage,Land Assessment,Building Assessment,Total Assessment,OPMAssessment
219 0459 00102,PABX,00000 AUTUMN ST,BERKELEY DIVINITY SCHOOL THE,,2992/7,0.18,193060,0,193060,193060
219 0459 00103,PABX,00000 AUTUMN ST,BERKELEY DIVINITY SCHOOL INC,,2992/7,0.18,193060,0,193060,193060
260 0307 01900,PABX,00000 BROADWAY,YALE UNIVERSITY,,8403/19,0.28,305200,0,305200,305200
248 0395 00200,PABX,00000 CANNER ST,YALE UNIVERSITY,,0/0,0.77,225960,10850,236810,236810
264 0103 00900,PABX,00000 CEDAR ST,YALE UNIVERSITY,,8068/305,0.66,1731520,24518690,26250210,26250210
277 0114 01502,PABX,00000 CEDAR ST,BETA 14 LLC,,8404/346,0.01,4620,0,4620,4620
376 1079 00110,PABX,00000 CHAPEL ST,YALE UNIVERSITY,,0/0,3.74,170310,0,170310,170310
243 0311 00400,PABX,00000 CHURCH ST,YALE UNIVERSITY,,2820/31,0.23,586740,12950,599690,599690
264 0103 01200,PABX,00000 CHURCH ST SOUTH,YALE UNIVERSITY,,8312/302,0.39,73850,0,73850,73850
264 0103 00300,PABX,00000 COLUMBUS AV,YALE UNIVERSITY,,8312/302,0.4,36960,0,36960,36960
264 0103 00400,PABX,00000 COLUMBUS AV,YALE UNIVERSITY,,8312/302,0.83,39900,0,39900,39900
260 0288 00105,PABX,00000 HIGH ST,YALE UNIVERSITY,,0/0,0.19,572250,0,572250,572250
260 0288 00200,PABX,00000 HIGH ST,YALE UNIVERSITY,,9043/313,1.54,2294320,0,2294320,2294320
244 0332 00301,PABX,00000 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.53,1045870,0,1045870,1045870
244 0332 00602,PABX,00000 HILLHOUSE AV,YALE UNIVERSITY,,9091/251,0.16,190540,0,190540,190540
244 0333 00401,PABX,00000 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.3,597310,0,597310,597310
244 0333 00501,PABX,00000 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.29,569870,17220,587090,587090
246 0362 04001,PABX,00000 MANSFIELD ST,YALE UNIVERSITY,,0/0,0.03,3430,0,3430,3430
246 0362 03500,PABX,00000 PROSPECT ST,YALE UNIVERSITY,,4249/91,1.14,477540,1470,479010,479010
245 0363 00200,PABX,00000 PROSPECT ST,YALE UNIVERSITY,,0/0,0.38,842240,0,842240,842240
377 1079 00103,PABX,00000 YALE AV,YALE UNIVERSITY,,0/0,15.72,2260300,324100,2584400,2584400
280 0250 02200,PABX,00000 YORK ST,YALE UNIVERSITY,,0/0,0.04,11270,2030,13300,13300
280 0250 00601,PABX,00000 YORK ST,YALE UNIVERSITY,,0/0,0.5,350560,0,350560,350560
280 0250 00602,PABX,00000 YORK ST,YALE UNIVERSITY,,0/0,0.11,31710,0,31710,31710
260 0307 00101,PABX,00000 YORK ST,YALE UNIVERSITY,,0/0,0.02,9380,0,9380,9380
260 0287 00100,PABX,00000 YORK ST,YALE UNIVERSITY,,0/0,1.29,1013390,0,1013390,1013390
239 0119 00100,PABX,00002 CHURCH ST SOUTH,WE 2 CHURCH STREET SOUTH LLC,,6602/74,2.96,657580,4214533,4872113,4872113
244 0332 00601,PABX,00002 HILLHOUSE AV,YALE UNIVERSITY,,9091/251,0.36,209440,1586060,1795500,1795500
223 0334 00450,PABX,00002 WHITNEY AV 1A,YALE UNIVERSITY,,0/0,0,0,265440,265440,265440
223 0334 00461,PABX,00002 WHITNEY AV 2,YALE UNIVERSITY,,0/0,0,0,1399860,1399860,1399860
223 0334 00463,PABX,00002 WHITNEY AV 3,YALE UNIVERSITY,,0/0,0,0,1572620,1572620,1572620
223 0334 00464,PABX,00002 WHITNEY AV 4,YALE UNIVERSITY,,0/0,0,70,1213940,1214010,1214010
223 0334 00465,PABX,00002 WHITNEY AV 4,YALE UNIVERSITY,,0/0,0,0,454790,454790,454790
223 0334 00467,PABX,00002 WHITNEY AV 5,YALE UNIVERSITY,,0/0,0,70,1424360,1424430,1424430
223 0334 00469,PABX,00002 WHITNEY AV 6,YALE UNIVERSITY,,0/0,0,70,1421490,1421560,1421560
223 0334 00471,PABX,00002 WHITNEY AV 7,YALE UNIVERSTIY,,0/0,0,70,1162140,1162210,1162210
223 0334 00473,PABX,00002 WHITNEY AV 8,YALE UNIVERSITY,,0/0,0,70,1171240,1171310,1171310
223 0334 00474,PABX,00002 WHITNEY AV G,YALE UNIVERSITY,,0/0,0,70,739620,739690,739690
223 0334 00475,PABX,00002 WHITNEY AV G,YALE UNIVERSITY,,0/0,0,0,1206380,1206380,1206380
244 0333 00300,PABX,00009 HILLHOUSE AV,YALE UNIVERSITY,,9091/251,0.44,857290,4945010,5802300,5802300
260 0307 00100,PABX,00009 TOWER PKWY,YALE UNIVERSITY,,0/0,5.28,4147780,105893690,110041470,110041470
264 0103 00800,PABX,00010 AMISTAD ST,YALE UNIVERSITY,,8068/305,0.88,2320710,8433810,10754520,10754520
244 0332 00500,PABX,00010 HILLHOUSE AV,YALE UNIVERSITY,,9091/251,0.75,1087030,11583950,12670980,12670980
281 0329 02000,PABX,00010 LAKE PL,YALE UNIVERSITY,,9424/179,0.04,14490,2240,16730,16730
244 0332 00400,PABX,00012 HILLHOUSE AV,YALE UNIVERSITY,,9091/251,0.41,247380,1389080,1636460,1636460
244 0333 00400,PABX,00015 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.15,125790,616840,742630,742630
244 0333 00500,PABX,00017 HILLHOUSE AV,YALE UNIVERSITY,,5150/5,0.72,1416520,24909710,26326230,26326230
244 0332 00200,PABX,00021 PROSPECT ST,YALE UNIVERSITY,,9091/251,1.45,3256050,54656350,57912400,57912400
245 0363 01300,PABX,00021 SACHEM ST,YALE UNIVERSITY,,0/0,4.29,4248720,0,4248720,4248720
261 0231 02000,PABX,00024 HIGH ST,YALE UNIVERSITY,,0/0,0.09,252770,5600,258370,258370
244 0332 00300,PABX,00024 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.6,146440,946610,1093050,1093050
261 0231 01900,PABX,00026 HIGH ST,YALE UNIVERSITY,,0/0,0.08,190260,295540,485800,485800
244 0365 00100,PABX,00027 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.33,138110,717430,855540,855540
244 0364 00800,PABX,00028 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.34,208390,1385090,1593480,1593480
260 0307 01201,PABX,00029 BROADWAY,YALE UNIVERSITY,,0/0,0.62,368060,1283030,1651090,1651090
