ID,Address_in,Match,Match_type,Address_out,Coords,Line_ID,Line_side,State,County,Tract,Block
1,"00000 AUTUMN ST, New Haven, CT",No_Match,,,,,,,,,
2,"00000 AUTUMN ST, New Haven, CT",No_Match,,,,,,,,,
3,"00000 BROADWAY, New Haven, CT",No_Match,,,,,,,,,
4,"00000 CANNER ST, New Haven, CT",No_Match,,,,,,,,,
5,"00000 CEDAR ST, New Haven, CT",No_Match,,,,,,,,,
6,"00000 CEDAR ST, New Haven, CT",No_Match,,,,,,,,,
7,"00000 CHAPEL ST, New Haven, CT",No_Match,,,,,,,,,
8,"00000 CHURCH ST, New Haven, CT",No_Match,,,,,,,,,
9,"00000 CHURCH ST SOUTH, New Haven, CT",No_Match,,,,,,,,,
10,"00000 COLUMBUS AV, New Haven, CT",No_Match,,,,,,,,,
11,"00000 COLUMBUS AV, New Haven, CT",Tie,,,,,,,,,
12,"00000 HIGH ST, New Haven, CT",No_Match,,,,,,,,,
13,"00000 HIGH ST, New Haven, CT",No_Match,,,,,,,,,
14,"00000 HILLHOUSE AV, New Haven, CT",No_Match,,,,,,,,,
15,"00000 HILLHOUSE AV, New Haven, CT",No_Match,,,,,,,,,
16,"00000 HILLHOUSE AV, New Haven, CT",No_Match,,,,,,,,,
17,"00000 HILLHOUSE AV, New Haven, CT",No_Match,,,,,,,,,
18,"00000 MANSFIELD ST, New Haven, CT",No_Match,,,,,,,,,
19,"00000 PROSPECTST, New Haven, CT",No_Match,,,,,,,,,
20,"00000 PROSPECTST, New Haven, CT",No_Match,,,,,,,,,
21,"00000 YALE AV, New Haven, CT",No_Match,,,,,,,,,
22,"00000 YORK ST, New Haven, CT",No_Match,,,,,,,,,
23,"00000 YORK ST, New Haven, CT",No_Match,,,,,,,,,
24,"00000 YORK ST, New Haven, CT",No_Match,,,,,,,,,
25,"00000 YORK ST, New Haven, CT",No_Match,,,,,,,,,
26,"00000 YORK ST, New Haven, CT",No_Match,,,,,,,,,
27,"00002 CHURCH ST SOUTH, New Haven, CT",Match,Exact,"2 CHURCH ST S, NEW HAVEN, CT, 06519","-72.92843,41.29627",604740963,L,9,9,140300,2038
