"names","address"
"Accounts Payable"," 344 Winchester Avenue, New Haven, CT"
"Affinity Federal Credit Union"," 55 Whitney Avenue, New Haven, CT"
"African American Studies"," 81 Wall Street, New Haven, CT"
"African Collection"," 120 High Street, New Haven, CT"
"Afro-American Cultural Center"," 211 Park Street, New Haven, CT"
"Agrarian Studies"," 204 Prospect Street, New Haven, CT"
"Air Force Reserve Officers Training Corps (ROTC) at Yale"," 55 Whitney Avenue, New Haven, CT"
"Alumni Information/Records"," 157 Church Street, New Haven, CT"
"American Journal of Science"," 210 Whitney Avenue, New Haven, CT"
"American Oriental Society & Journal"," 120 High Street, New Haven, CT"
"American Studies"," 304 Elm Street, New Haven, CT"
"Anesthesiology"," 789 Howard Avenue, New Haven, CT"
"Animal Research"," 25 Science Park, 150 Munson Street, New Haven, CT"
"Anlyan Center Auditorium"," 300 Cedar Street, New Haven, CT"
"Anthropology"," 10 Sachem Street, New Haven, CT"
"Anthropology Library"," 219 Prospect Street, New Haven, CT"
"Applied Physics"," 15 Prospect Street, New Haven, CT"
"Architecture Gallery (School of Architecture)"," 180 York Street, New Haven, CT"
"Armory"," 70 Central Avenue, New Haven, CT"
"Arnold Hall"," 304 Elm Street, New Haven, CT"
"Arts of the Book Collection"," 180 York Street, New Haven, CT"
"Asian American Cultural Center"," 295-297 Crown Street, New Haven, CT"
"Associated Student Agencies"," 246 Church Street, New Haven, CT"
"Astronomy"," 260 Whitney Avenue, New Haven, CT"
"Astronomy Library"," 260 Whitney Avenue, New Haven, CT"
"Athletics, Physical Education, & Recreation"," 20 Tower Parkway, New Haven, CT"
"Babylonian Collection"," 120 High Street, New Haven, CT"
"Bass Library"," 110 Wall Street, New Haven, CT"
"Battell Chapel"," 400 College Street, New Haven, CT"
"Beinecke Rare Book & Manuscript Library"," 121 Wall Street, New Haven, CT"
"Berkeley College"," 205 Elm Street, New Haven, CT"
"Berkeley Divinity School & Center"," 409 Prospect Street, New Haven, CT"
"Bingham Hall"," 300 College Street, New Haven, CT"
"Biological & Biomedical Sciences Graduate Program"," 333 Cedar Street, New Haven, CT"
"Biomedical Engineering"," 55 Prospect Street, New Haven, CT"
"Black Church at Yale"," 211 Park Street, New Haven, CT"
"Boswell Editions"," 120 High Street, New Haven, CT"
"Bowers Auditorium"," 205 Prospect Street, New Haven, CT"
"Boyer Center for Molecular Medicine"," 295 Congress Avenue, New Haven, CT"
"Brady Auditorium"," 310 Cedar Street, New Haven, CT"
"Brady Squash Center"," 70 Tower Parkway, New Haven, CT"
"Brady-Johnson Program in Grand Strategy"," 31 Hillhouse Avenue, New Haven, CT"
"Branford College"," 74 High Street, New Haven, CT"
"Brooks-Dwyer Varsity Strength & Conditioning Center"," 70 Tower Parkway, New Haven, CT"
"Burke Auditorium"," 195 Prospect Street, New Haven, CT"
"Calvin Hill Day Care Center"," 150 Highland Street, New Haven, CT"
"Campus Mail Services: Central & Science Areas"," 344 Winchester Avenue, New Haven, CT"
