Unique.ID,Address_in,Address_out,Owner.Or.Facility,Land.Assessment,Building.Assessment,ID,Match,Coords,FIPS,Park,Parking_lot
219 0459 00102,"00000 AUTUMN ST, New Haven, CT",,BERKELEY DIVINITY SCHOOL THE,193060,0,1,No_Match,,,,
219 0459 00103,"00000 AUTUMN ST, New Haven, CT",,BERKELEY DIVINITY SCHOOL INC,193060,0,2,No_Match,,,,
260 0307 01900,"00000 BROADWAY, New Haven, CT",,YALE UNIVERSITY,305200,0,3,No_Match,,,,
248 0395 00200,"00000 CANNER ST, New Haven, CT",,YALE UNIVERSITY,225960,10850,4,No_Match,,,,
264 0103 00900,"00000 CEDAR ST, New Haven, CT",,YALE UNIVERSITY,1731520,24518690,5,No_Match,,,,
277 0114 01502,"00000 CEDAR ST, New Haven, CT",,BETA 14 LLC,4620,0,6,No_Match,,,,
376 1079 00110,"00000 CHAPEL ST, New Haven, CT",,YALE UNIVERSITY,170310,0,7,No_Match,,,,
243 0311 00400,"00000 CHURCH ST, New Haven, CT",,YALE UNIVERSITY,586740,12950,8,No_Match,,,,
264 0103 01200,"00000 CHURCH ST SOUTH, New Haven, CT",,YALE UNIVERSITY,73850,0,9,No_Match,,,,
264 0103 00300,"00000 COLUMBUS AV, New Haven, CT",,YALE UNIVERSITY,36960,0,10,No_Match,,,,
264 0103 00400,"00000 COLUMBUS AV, New Haven, CT",,YALE UNIVERSITY,39900,0,11,Tie,,,,
260 0288 00105,"00000 HIGH ST, New Haven, CT",,YALE UNIVERSITY,572250,0,12,No_Match,,,,
260 0288 00200,"00000 HIGH ST, New Haven, CT",,YALE UNIVERSITY,2294320,0,13,No_Match,,,,
244 0332 00301,"00000 HILLHOUSE AV, New Haven, CT",,YALE UNIVERSITY,1045870,0,14,No_Match,,,,
244 0332 00602,"00000 HILLHOUSE AV, New Haven, CT",,YALE UNIVERSITY,190540,0,15,No_Match,,,,
244 0333 00401,"00000 HILLHOUSE AV, New Haven, CT",,YALE UNIVERSITY,597310,0,16,No_Match,,,,
244 0333 00501,"00000 HILLHOUSE AV, New Haven, CT",,YALE UNIVERSITY,569870,17220,17,No_Match,,,,
246 0362 04001,"00000 MANSFIELD ST, New Haven, CT",,YALE UNIVERSITY,3430,0,18,No_Match,,,,
