Unique.ID,Exempt.Code,Address,Owner.Or.Facility,X,Volume.And.Page,Acreage,Land.Assessment,Building.Assessment,Total.Assessment,OPMAssessment,ID,Address_in,Match,Match_type,Address_out,long,lat,Line_ID,Line_side,State,County,Tract,Block,FIPS,newadd,Park,Parking_lot
219 0459 00102,PABX,00000 AUTUMN ST,Berkeley Divinity School The,NA,2992/7,0.18,193060,0,193060,193060,1,"00000 AUTUMN ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219 0459 00103,PABX,00000 AUTUMN ST,Berkeley Divinity School Inc,NA,2992/7,0.18,193060,0,193060,193060,2,"00000 AUTUMN ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260 0307 01900,PABX,00000 BROADWAY,Yale University,NA,8403/19,0.28,305200,0,305200,305200,3,"00000 BROADWAY, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248 0395 00200,PABX,00000 CANNER ST,Yale University,NA,0/0,0.77,225960,10850,236810,236810,4,"00000 CANNER ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264 0103 00900,PABX,00000 CEDAR ST,Yale University,NA,8068/305,0.66,1731520,24518690,26250210,26250210,5,"00000 CEDAR ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277 0114 01502,PABX,00000 CEDAR ST,Beta 14 Llc,NA,8404/346,0.01,4620,0,4620,4620,6,"00000 CEDAR ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376 1079 00110,PABX,00000 CHAPEL ST,Yale University,NA,0/0,3.74,170310,0,170310,170310,7,"00000 CHAPEL ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243 0311 00400,PABX,00000 CHURCH ST,Yale University,NA,2820/31,0.23,586740,12950,599690,599690,8,"00000 CHURCH ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264 0103 01200,PABX,00000 CHURCH ST SOUTH,Yale University,NA,8312/302,0.39,73850,0,73850,73850,9,"00000 CHURCH ST SOUTH, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264 0103 00300,PABX,00000 COLUMBUS AV,Yale University,NA,8312/302,0.4,36960,0,36960,36960,10,"00000 COLUMBUS AV, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264 0103 00400,PABX,00000 COLUMBUS AV,Yale University,NA,8312/302,0.83,39900,0,39900,39900,11,"00000 COLUMBUS AV, New Haven, CT",Tie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260 0288 00105,PABX,00000 HIGH ST,Yale University,NA,0/0,0.19,572250,0,572250,572250,12,"00000 HIGH ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260 0288 00200,PABX,00000 HIGH ST,Yale University,NA,9043/313,1.54,2294320,0,2294320,2294320,13,"00000 HIGH ST, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244 0332 00301,PABX,00000 HILLHOUSE AV,Yale University,NA,0/0,0.53,1045870,0,1045870,1045870,14,"00000 HILLHOUSE AV, New Haven, CT",No_Match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
