"","Unique.ID","Exempt.Code","Address","Owner.Or.Facility","X","Volume.And.Page","Acreage","Land.Assessment","Building.Assessment","Total.Assessment","OPMAssessment","ID","Address_in","Match","Match_type","Address_out","Coords","Line_ID","Line_side","State","County","Tract","Block","FIPS"
"1","219 0459 00102","PABX","00000 AUTUMN ST","BERKELEY DIVINITY SCHOOL THE",NA,"2992/7",0.18,193060,0,193060,193060,1,"00000 AUTUMN ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"2","219 0459 00103","PABX","00000 AUTUMN ST","BERKELEY DIVINITY SCHOOL INC",NA,"2992/7",0.18,193060,0,193060,193060,2,"00000 AUTUMN ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"3","260 0307 01900","PABX","00000 BROADWAY","YALE UNIVERSITY",NA,"8403/19",0.28,305200,0,305200,305200,3,"00000 BROADWAY, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"4","248 0395 00200","PABX","00000 CANNER ST","YALE UNIVERSITY",NA,"0/0",0.77,225960,10850,236810,236810,4,"00000 CANNER ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"5","264 0103 00900","PABX","00000 CEDAR ST","YALE UNIVERSITY",NA,"8068/305",0.66,1731520,24518690,26250210,26250210,5,"00000 CEDAR ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"6","277 0114 01502","PABX","00000 CEDAR ST","BETA 14 LLC",NA,"8404/346",0.01,4620,0,4620,4620,6,"00000 CEDAR ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"7","376 1079 00110","PABX","00000 CHAPEL ST","YALE UNIVERSITY",NA,"0/0",3.74,170310,0,170310,170310,7,"00000 CHAPEL ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"8","243 0311 00400","PABX","00000 CHURCH ST","YALE UNIVERSITY",NA,"2820/31",0.23,586740,12950,599690,599690,8,"00000 CHURCH ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"9","264 0103 01200","PABX","00000 CHURCH ST SOUTH","YALE UNIVERSITY",NA,"8312/302",0.39,73850,0,73850,73850,9,"00000 CHURCH ST SOUTH, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"10","264 0103 00300","PABX","00000 COLUMBUS AV","YALE UNIVERSITY",NA,"8312/302",0.4,36960,0,36960,36960,10,"00000 COLUMBUS AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"11","264 0103 00400","PABX","00000 COLUMBUS AV","YALE UNIVERSITY",NA,"8312/302",0.83,39900,0,39900,39900,11,"00000 COLUMBUS AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"12","260 0288 00105","PABX","00000 HIGH ST","YALE UNIVERSITY",NA,"0/0",0.19,572250,0,572250,572250,12,"00000 HIGH ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"13","260 0288 00200","PABX","00000 HIGH ST","YALE UNIVERSITY",NA,"9043/313",1.54,2294320,0,2294320,2294320,13,"00000 HIGH ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"14","244 0332 00301","PABX","00000 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.53,1045870,0,1045870,1045870,14,"00000 HILLHOUSE AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"15","244 0332 00602","PABX","00000 HILLHOUSE AV","YALE UNIVERSITY",NA,"9091/251",0.16,190540,0,190540,190540,15,"00000 HILLHOUSE AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"16","244 0333 00401","PABX","00000 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.3,597310,0,597310,597310,16,"00000 HILLHOUSE AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"17","244 0333 00501","PABX","00000 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.29,569870,17220,587090,587090,17,"00000 HILLHOUSE AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"18","246 0362 04001","PABX","00000 MANSFIELD ST","YALE UNIVERSITY",NA,"0/0",0.03,3430,0,3430,3430,18,"00000 MANSFIELD ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"19","246 0362 03500","PABX","00000 PROSPECT ST","YALE UNIVERSITY",NA,"4249/91",1.14,477540,1470,479010,479010,19,"00000 PROSPECTST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"20","245 0363 00200","PABX","00000 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",0.38,842240,0,842240,842240,20,"00000 PROSPECTST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"21","377 1079 00103","PABX","00000 YALE AV","YALE UNIVERSITY",NA,"0/0",15.72,2260300,324100,2584400,2584400,21,"00000 YALE AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"22","280 0250 02200","PABX","00000 YORK ST","YALE UNIVERSITY",NA,"0/0",0.04,11270,2030,13300,13300,22,"00000 YORK ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
