addr.housenumber,addr.street,addr.city,tot
1,High Street,New Haven,22577520
1,Park Street,New Haven,119000840
10,Lake Place,New Haven,16730
10,Whitney Avenue,New Haven,1171310
10,York Street,New Haven,152784380
100,Church Street,New Haven,8778000
1021,Chapel Street,New Haven,17640070
103,Davenport Avenue,New Haven,71400
104,Washington Avenue,New Haven,51310
1073,Chapel Street,New Haven,32165420
1074,Chapel Street,New Haven,10784060
109,Davenport Avenue,New Haven,68810
109,Wall Street,New Haven,2642710
11,Whitney Avenue,New Haven,739690
110,Wall Street,New Haven,1052660
111,Davenport Avenue,New Haven,31920
111,Grove Street,New Haven,4003440
111,Sherman Avenue,New Haven,43750
112,Davenport Avenue,New Haven,608720
115,High Street,New Haven,29106070
1156,Chapel Street,New Haven,12649210
116,Davenport Avenue,New Haven,38080
12,Whitney Avenue,New Haven,1206380
120,High Street,New Haven,98983710
121,High Street,New Haven,16244060
122,Tower Pkwy,New Haven,31896620
123,College Street,New Haven,6363070
131,Grove Street,New Haven,6499850
134,Davenport Avenue,New Haven,193900
1342,Chapel Street,New Haven,72030
135,Prospect Street,New Haven,10371900
1380,Chapel Street,New Haven,290500
1389,Chapel Street,New Haven,375200
139,York Street,New Haven,1031870
140,High Street,New Haven,58521120
1441,Chapel Street,New Haven,401800
1450,Chapel Street,New Haven,277400200
149,York Street,New Haven,2411150
150,Yale Avenue,New Haven,61491080
150,York Street,New Haven,5821410
156,Washington Avenue,New Haven,36540
158,Whitney Avenue,New Haven,11228420
165,Central Avenue,New Haven,5307960
17,Park Street,New Haven,465881990
173,Grove Street,New Haven,15402380
174,Washington Avenue,New Haven,49980
175,Whitney Avenue,New Haven,117346110
180,Washington Avenue,New Haven,49420
180,Whitney Avenue,New Haven,56095270
182,Winchester Avenue,New Haven,101640
182,York Street,New Haven,30057160
188,Lafayette Street,New Haven,31080
189,Elm Street,New Haven,68997530
192,Washington Avenue,New Haven,47320
194,York Street,New Haven,216790
196,Lafayette Street,New Haven,24640
197,York Street,New Haven,40875590
2,Church Street S,New Haven,4872113
20,Gilbert Avenue,New Haven,30730
200,Conrad Drive,New Haven,7638330
200,Elm Street,New Haven,9297190
200,Orchard Street,New Haven,53060
200,York Street,New Haven,27030080
201,Orchard Street,New Haven,38780
201,York Street,New Haven,63790160
202,Orchard Street,New Haven,53410
203,Orchard Street,New Haven,54040
204,Orchard Street,New Haven,51940
205,Orchard Street,New Haven,87360
206,Lafayette Street,New Haven,34720
206,Orchard Street,New Haven,58730
207,Orchard Street,New Haven,53690
208,Orchard Street,New Haven,54390
208,Washington Avenue,New Haven,46830
209,Elm Street,New Haven,25400620
209,Orchard Street,New Haven,54390
21,Prospect Street,New Haven,57912400
21,Sylvan Avenue,New Haven,36330
210,Orchard Street,New Haven,58730
211,Orchard Street,New Haven,55580
212,Orchard Street,New Haven,99820
213,Orchard Street,New Haven,54390
213,Park Street,New Haven,2596580
214,Elm Street,New Haven,16832130
214,Orchard Street,New Haven,38360
215,Orchard Street,New Haven,57190
215,Whitney Avenue,New Haven,705110
216,Orchard Street,New Haven,59500
216,Washington Avenue,New Haven,44030
217,Orchard Street,New Haven,91770
217,Park Street,New Haven,671510
