addr.housenumber,addr.street,addr.city
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
67-81,Howe Street,New Haven
200,Prospect Street,New Haven
280,Whitney Avenue,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
200,Orange Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
272,Elm Street,New Haven
57,Lock Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
70,Tower Parkway,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
104,York Square Place,New Haven
251,Derby Avenue,New Haven
253,Derby Avenue,New Haven
257,Derby Avenue,New Haven
NA,NA,NA
NA,Chapel Street,NA
NA,Chapel Street,NA
NA,Chapel Street,NA
NA,NA,NA
1928,Chapel Street,NA
NA,Chapel Street,NA
NA,Chapel Street,NA
NA,Chapel Street,NA
NA,Chapel Street,NA
NA,Chapel Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
450,Sargent Drive,New Haven
73,Sachem Street,New Haven
5,Winchester Ave,NA
150,Munson Street,New Haven
NA,NA,NA
NA,NA,NA
123,York Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
4,Winchester Ave,NA
NA,NA,NA
100,York Street,New Haven
129,York Street,New Haven
121,Wall Street,New Haven
NA,NA,NA
NA,NA,NA
88,York Street,NA
NA,NA,NA
NA,NA,NA
100,Temple Street,New Haven
300,George Street,New Haven
20,York Street,New Haven
NA,NA,NA
2,Church Street South,NA
1,Church Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
350,George Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
55,church Street,New Haven
NA,NA,NA
121,Elm Street,NA
234,Church Street,New Haven
NA,NA,NA
2,Whitney Avenue,New Haven
109,Grove Street,New Haven
NA,NA,NA
470,College Street,NA
NA,NA,NA
NA,NA,NA
67,High Street,New Haven
1035,Chapel Street,New Haven
NA,NA,NA
NA,NA,NA
217,Park Street,NA
NA,NA,NA
NA,NA,NA
400,College,New Haven
1080,Chapel Street,New Haven
63,High Street,New Haven
198,Elm Street,NA
NA,NA,NA
358,College Street,New Haven
NA,NA,NA
344,College Street,New Haven
300,College Street,New Haven
1037,Chapel Street,New Haven
NA,NA,NA
206,Elm Street,New Haven
NA,NA,NA
1017,Chapel Street,New Haven
NA,NA,NA
380,College Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
116,Court Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
133,Elm Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
235,Church Street,NA
NA,NA,NA
NA,NA,NA
1120,Chapel Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
254,College Street,NA
NA,NA,NA
245-247,Crown Street,New Haven
114,Whitney Avenue,NA
53,Wall Street,New Haven
246,Church Street,NA
323,Temple Street,New Haven
344,Winchester Avenue,New Haven
330,Winchester Avenue,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,Washington Ave.,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1,MacDonohugh Plaza,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1,Winchester Road,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
360,State Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
515,Saw Mill Road,West Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
295,Congress Avenue,New Haven
37-55,College Street,New Haven
315,Cedar Street,New Haven
NA,NA,NA
290,State Street,New Haven
70,Washington Avenue,New Haven
NA,NA,NA
184,Liberty Street,New Haven
301,Cedar Street,New Haven
790,Howard Avenue,New Haven
NA,NA,NA
NA,NA,NA
10,Amistad Street,New Haven
420,Temple Street,New Haven
65,Grove Street,New Haven
111,Cedar Street,NA
1,Long Wharf Drive,NA
259,Bull Hill Lane,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
46,Hillhouse Avenue,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
239,Whalley Avenue,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
205,Edison Road,NA
NA,NA,NA
NA,NA,NA
236,Boston Post Road,NA
NA,NA,NA
181,Marsh Hill Road,NA
222,Boston Post Road,NA
314,Indian River Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,Boston Post Road,Orange
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
170,Boston Post Road,Orange
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
89,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
121,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
130,Boston Post Road,NA
174,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
150,Boston Post Road,NA
NA,NA,NA
115,Boston Post Road,NA
82,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
131,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
145,Boston Post Road,NA
NA,NA,NA
140,Boston Post Road,NA
164,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
205,Boston Post Road,Milford
NA,NA,NA
NA,NA,NA
125,Boston Post Road,NA
111,Boston Post Road,NA
NA,NA,NA
196,Boston Post Road,NA
175,Boston Post Road,Milford
NA,NA,NA
NA,NA,NA
199,Boston Post Road,Milford
NA,NA,NA
NA,NA,NA
109,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
235,Bishop Street,NA
NA,NA,NA
303,Whitney Avenue,NA
225,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
215,Bishop Street,NA
207,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
165,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
195,Bishop Street,NA
NA,NA,NA
169,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
191,Bishop Street,NA
NA,NA,NA
NA,NA,NA
229,Bishop Street,NA
219,Bishop Street,NA
NA,NA,NA
NA,NA,NA
201,Bishop Street,NA
NA,NA,NA
175,Bishop Street,NA
NA,NA,NA
183,Bishop Street,NA
NA,NA,NA
192,Bishop Street,NA
NA,NA,NA
178,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
271,Whitney Avenue,NA
NA,NA,NA
216,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
162,Bishop Street,NA
NA,NA,NA
NA,NA,NA
222,Bishop Street,NA
291,Whitney Avenue,NA
NA,NA,NA
285,Whitney Avenue,NA
NA,NA,NA
188,Bishop Street,NA
172,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
204,Bishop Street,NA
NA,NA,NA
NA,NA,NA
221R,Whitney Avenue,New Haven
NA,NA,NA
255,Whitney Avenue,NA
193,Whitney Avenue,NA
NA,NA,NA
245,Whitney Avenue,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
199,Whitney Avenue,NA
