Unique ID,Street address,City,State,ZIP
10000,279 DWIGHT ST,New Haven,CT,
10001,283 DWIGHT ST,New Haven,CT,
10002,106 GOFFE ST,New Haven,CT,
10003,100 GOFFE ST,New Haven,CT,
10004,418 WOODWARD AV #27,New Haven,CT,
10005,90 GOFFE ST,New Haven,CT,
10006,60 GOFFE ST,New Haven,CT,
10007,46 GOFFE ST,New Haven,CT,
10008,1 WHALLEY AV,New Haven,CT,
10009,29 WHALLEY AV,New Haven,CT,
10010,31 WHALLEY AV,New Haven,CT,
10011,WHALLEY AV,New Haven,CT,
10012,35 WHALLEY AV,New Haven,CT,
10013,43 WHALLEY AV,New Haven,CT,
10014,47 WHALLEY AV,New Haven,CT,
10015,675 TOWNSEND AV #183,New Haven,CT,
10016,418 WOODWARD AV #28,New Haven,CT,
10017,53 WHALLEY AV,New Haven,CT,
10018,67 WHALLEY AV,New Haven,CT,
10019,75 WHALLEY AV,New Haven,CT,
10020,95 WHALLEY AV,New Haven,CT,
10021,31 SPERRY ST,New Haven,CT,
10022,39 SPERRY ST,New Haven,CT,
10023,138 DIXWELL AV,New Haven,CT,
10024,122 DIXWELL AV,New Haven,CT,
10025,100 DIXWELL AV,New Haven,CT,
10026,110 DIXWELL AV,New Haven,CT,
10027,432 WOODWARD AV,New Haven,CT,
10028,78 DIXWELL AV,New Haven,CT,
10029,66 DIXWELL AV,New Haven,CT,
10030,62 DIXWELL AV,New Haven,CT,
10031,58 DIXWELL AV,New Haven,CT,
10032,54 DIXWELL AV,New Haven,CT,
10033,48 DIXWELL AV,New Haven,CT,
10034,40 DIXWELL AV,New Haven,CT,
10035,24 DIXWELL AV,New Haven,CT,
10036,49 GOFFE ST,New Haven,CT,
10037,436 WOODWARD AV,New Haven,CT,
10038,63 GOFFE ST,New Haven,CT,
10039,69 GOFFE ST,New Haven,CT,
10040,87 GOFFE ST,New Haven,CT,
10041,89 GOFFE ST,New Haven,CT,
10042,125 GOFFE ST,New Haven,CT,
10043,104 WEBSTER ST,New Haven,CT,
10044,100 WEBSTER ST,New Haven,CT,
10045,98 WEBSTER ST,New Haven,CT,
10046,96 WEBSTER ST #.5,New Haven,CT,
10047,96 WEBSTER ST,New Haven,CT,
10048,82 FORT HALE RD,New Haven,CT,
10049,94 WEBSTER ST,New Haven,CT,
10050,533 GEORGE ST,New Haven,CT,
10051,135 DAY ST,New Haven,CT,
10052,139 DAY ST,New Haven,CT,
10053,1324 CHAPEL ST,New Haven,CT,
10054,1312 CHAPEL ST,New Haven,CT,
10055,1308 CHAPEL ST,New Haven,CT,
10056,1302 CHAPEL ST,New Haven,CT,
10057,1294 CHAPEL ST,New Haven,CT,
10058,1288 CHAPEL ST,New Haven,CT,
10059,FORT HALE RD,New Haven,CT,
10060,136 DWIGHT ST,New Haven,CT,
10061,128 DWIGHT ST,New Haven,CT,
10062,DWIGHT ST,New Haven,CT,
10063,120 DWIGHT ST,New Haven,CT,
10064,102 DWIGHT ST,New Haven,CT,
10065,100 DWIGHT ST,New Haven,CT,
10066,501 GEORGE ST,New Haven,CT,
10067,511 GEORGE ST,New Haven,CT,
10068,153 WOODWARD AV,New Haven,CT,
10069,515 GEORGE ST,New Haven,CT,
10070,GEORGE ST,New Haven,CT,
10071,519 GEORGE ST,New Haven,CT,
10072,525 GEORGE ST,New Haven,CT,
10073,529 GEORGE ST,New Haven,CT,
10074,475 GEORGE ST,New Haven,CT,
10075,95 DWIGHT ST,New Haven,CT,
10076,101 DWIGHT ST,New Haven,CT,
10077,105 DWIGHT ST,New Haven,CT,
10078,159 WOODWARD AV,New Haven,CT,
10079,109 DWIGHT ST,New Haven,CT,
10080,115 DWIGHT ST,New Haven,CT,
10081,119 DWIGHT ST,New Haven,CT,
10082,125 DWIGHT ST,New Haven,CT,
10083,131 DWIGHT ST,New Haven,CT,
10084,135 DWIGHT ST,New Haven,CT,
10085,163 WOODWARD AV,New Haven,CT,
10086,38 HOWE ST,New Haven,CT,
10087,32 HOWE ST,New Haven,CT,
10088,1323 CHAPEL ST,New Haven,CT,
10089,1311 CHAPEL ST,New Haven,CT,
10090,1303 CHAPEL ST,New Haven,CT,
10091,1319 CHAPEL ST,New Haven,CT,
10092,1289 CHAPEL ST,New Haven,CT,
10093,GILL ST,New Haven,CT,
10094,17 GILL ST,New Haven,CT,
10095,23 GILL ST,New Haven,CT,
10096,169 WOODWARD AV,New Haven,CT,
10097,130 EDGEWOOD AV,New Haven,CT,
10098,102 EDGEWOOD AV,New Haven,CT,
10099,198 DWIGHT ST,New Haven,CT,
10100,192 DWIGHT ST,New Haven,CT,
10101,188 DWIGHT ST,New Haven,CT,
10102,182 DWIGHT ST,New Haven,CT,
10103,180 DWIGHT ST,New Haven,CT,
10104,176 DWIGHT ST,New Haven,CT,
10105,170 DWIGHT ST,New Haven,CT,
10106,164 DWIGHT ST,New Haven,CT,
10107,175 WOODWARD AV,New Haven,CT,
10108,1267 CHAPEL ST,New Haven,CT,
10109,1275 CHAPEL ST,New Haven,CT,
10110,1281 CHAPEL ST,New Haven,CT,
10111,1287 CHAPEL ST,New Haven,CT,
10112,1263 CHAPEL ST,New Haven,CT,
10113,163 DWIGHT ST,New Haven,CT,
10114,179 DWIGHT ST,New Haven,CT,
10115,183 DWIGHT ST,New Haven,CT,
10116,675 TOWNSEND AV #184,New Haven,CT,
10117,181 WOODWARD AV,New Haven,CT,
10118,189 DWIGHT ST,New Haven,CT,
10119,193 DWIGHT ST,New Haven,CT,
10120,199 DWIGHT ST,New Haven,CT,
10121,203 DWIGHT ST,New Haven,CT,
10122,74 EDGEWOOD AV,New Haven,CT,
10123,72 EDGEWOOD AV,New Haven,CT,
10124,64 EDGEWOOD AV,New Haven,CT,
10125,62 EDGEWOOD AV,New Haven,CT,
10126,86 HOWE ST #86A,New Haven,CT,
10127,86 HOWE ST #86B,New Haven,CT,
10128,3 HERVEY ST,New Haven,CT,
10129,88 HOWE ST #88A,New Haven,CT,
