Unique ID,Street address,City,State,ZIP
1,51 SOUTH END RD,New Haven,CT,NA
2,157 SOUTH END RD,New Haven,CT,NA
3,135 TOWNSEND TER,New Haven,CT,NA
4,22 MANSION ST,New Haven,CT,NA
5,501 EAST ST,New Haven,CT,NA
6,505 EAST ST,New Haven,CT,NA
7,507 EAST ST,New Haven,CT,NA
8,511 EAST ST,New Haven,CT,NA
9,545 EAST ST,New Haven,CT,NA
10,543 EAST ST,New Haven,CT,NA
11,539 EAST ST,New Haven,CT,NA
12,866 QUINNIPIAC AV,New Haven,CT,NA
13,535 EAST ST,New Haven,CT,NA
14,533 EAST ST,New Haven,CT,NA
15,RUSSELL ST,New Haven,CT,NA
16,531 EAST ST,New Haven,CT,NA
17,18 MANSION ST,New Haven,CT,NA
18,519 EAST ST,New Haven,CT,NA
19,70 HEMINGWAY ST,New Haven,CT,NA
20,159 HUMPHREY ST,New Haven,CT,NA
21,155 HUMPHREY ST,New Haven,CT,NA
22,29  #BROADWAY,New Haven,CT,NA
23,151 HUMPHREY ST,New Haven,CT,NA
24,54 MILL RIVER ST,New Haven,CT,NA
25,62 MILL RIVER ST,New Haven,CT,NA
26,MILL RIVER ST,New Haven,CT,NA
27,316 MUNSON ST,New Haven,CT,NA
28,318 MUNSON ST,New Haven,CT,NA
29,62 MILL RIVER ST,New Haven,CT,NA
30,64 MILL RIVER ST,New Haven,CT,NA
31,1 ADMIRAL ST,New Haven,CT,NA
32,26 HENRY ST,New Haven,CT,NA
33,68 MILL RIVER ST,New Haven,CT,NA
34,14 MANSION ST,New Haven,CT,NA
35,70 MILL RIVER ST,New Haven,CT,NA
36,220 ASHMUN ST,New Haven,CT,NA
37,72 MILL RIVER ST,New Haven,CT,NA
38,83 MILL RIVER ST,New Haven,CT,NA
39,81 MILL RIVER ST,New Haven,CT,NA
40,79 MILL RIVER ST,New Haven,CT,NA
41,179 DIVISION ST,New Haven,CT,NA
42,177 DIVISION ST,New Haven,CT,NA
43,75 MILL RIVER ST,New Haven,CT,NA
44,67 MILL RIVER ST,New Haven,CT,NA
45,171 DIVISION ST,New Haven,CT,NA
46,51 MILL RIVER ST,New Haven,CT,NA
47,HUMPHREY ST,New Haven,CT,NA
48,80 NEWHALL ST,New Haven,CT,NA
49,88 NEWHALL ST,New Haven,CT,NA
50,33 HUMPHREY ST,New Haven,CT,NA
51,8 MANSION ST,New Haven,CT,NA
52,JAMES ST,New Haven,CT,NA
53,94 NEWHALL ST,New Haven,CT,NA
54,JAMES ST,New Haven,CT,NA
55,470 JAMES ST,New Haven,CT,NA
56,84 HOWE ST,New Haven,CT,NA
57,1015 WHALLEY AV,New Haven,CT,NA
58,111 MARKET ST,New Haven,CT,NA
59,JOHN W MURPHY DR,New Haven,CT,NA
60,804 STATE ST,New Haven,CT,NA
61,360 JAMES ST,New Haven,CT,NA
62,370 JAMES ST,New Haven,CT,NA
63,100 JOHN W MURPHY DR,New Haven,CT,NA
64,328 JAMES ST,New Haven,CT,NA
65,1080 STATE ST,New Haven,CT,NA
66,4 MANSION ST,New Haven,CT,NA
67,1041 STATE ST,New Haven,CT,NA
68,STATE ST,New Haven,CT,NA
69,MILL RIVER ST,New Haven,CT,NA
70,181 MITCHELL DR,New Haven,CT,NA
71,208 VIEW ST,New Haven,CT,NA
72,758 ORCHARD ST,New Haven,CT,NA
73,212 VIEW ST,New Haven,CT,NA
74,218 VIEW ST,New Haven,CT,NA
75,760 ORCHARD ST,New Haven,CT,NA
76,762 ORCHARD ST,New Haven,CT,NA
77,764 ORCHARD ST,New Haven,CT,NA
78,766 ORCHARD ST,New Haven,CT,NA
79,222 VIEW ST,New Haven,CT,NA
80,228 VIEW ST,New Haven,CT,NA
81,282 ASHMUN ST,New Haven,CT,NA
82,284 ASHMUN ST,New Haven,CT,NA
83,286 ASHMUN ST,New Haven,CT,NA
84,288 ASHMUN ST,New Haven,CT,NA
85,290 ASHMUN ST,New Haven,CT,NA
86,232 VIEW ST,New Haven,CT,NA
87,28 PARKER PL,New Haven,CT,NA
88,236 VIEW ST,New Haven,CT,NA
89,8 ADMIRAL ST,New Haven,CT,NA
90,248 VIEW ST,New Haven,CT,NA
91,274 VIEW ST,New Haven,CT,NA
92,287 ASHMUN ST,New Haven,CT,NA
93,289 ASHMUN ST,New Haven,CT,NA
94,291 ASHMUN ST,New Haven,CT,NA
95,293 ASHMUN ST,New Haven,CT,NA
96,295 ASHMUN ST,New Haven,CT,NA
97,297 ASHMUN ST,New Haven,CT,NA
98,306 VIEW ST,New Haven,CT,NA
99,258 VIEW ST,New Haven,CT,NA
100,4 ADMIRAL ST,New Haven,CT,NA
101,6 ADMIRAL ST,New Haven,CT,NA
102,276 VIEW ST,New Haven,CT,NA
103,280 VIEW ST,New Haven,CT,NA
104,36 ASSUMPTION ST,New Haven,CT,NA
105,42 ASSUMPTION ST,New Haven,CT,NA
106,48 ASSUMPTION ST,New Haven,CT,NA
107,77 ROCK ST,New Haven,CT,NA
108,69 ROCK ST,New Haven,CT,NA
109,73 ROCK ST,New Haven,CT,NA
