names,address,owner,pid,mblu,acctnum,building_count,yearbuilt,livingarea,replacement_cost,pctgood,rcmdepreciation,landsize,frontage,depth,landvalue,usecode,landdesc,zone,neighborhood,category,Year Built:,Living Area:,Replacement Cost:,Building Percent Good:,"Replacement Cost
                    Less Depreciation:",Valuation Year,Improvements,Land,Total,Style,Model,Grade:,Stories:,Occupancy,Exterior Wall 1,Exterior Wall 2,Roof Structure:,Roof Cover,Interior Wall 1,Interior Wall 2,Interior Flr 1,Interior Flr 2,Heat Fuel,Heat Type:,AC Type:,Total Bedrooms:,Total Bthrms:,Total Half Baths:,Total Xtra Fixtrs:,Total Rooms:,Bath Style:,Kitchen Style:,Interior Condition,Fin Bsmnt Area,Fin Bsmnt Qual,NBHD Code,STYLE,MODEL,Grade,Roof Structure,Interior Floor 1,Interior Floor 2,Heating Fuel,Heating Type,AC Type,Bldg Use,Total Rooms,Total Bedrms,Total Baths,1st Floor Use:,Heat/AC,Frame Type,Baths/Plumbing,Ceiling/Wall,Rooms/Prtns,Wall Height,% Comn Wall,Interior Wall 1:,Interior Wall 2:,Heat Fuel:,Ttl Bedrms:,Ttl Bathrms:,Ttl Half Bths:,Xtra Fixtres,Residential Units:,Exterior Wall 1:,Exterior Wall 2:,Cmrcl Units:,Res/Com Units:,Section #:,Parking Spaces,Section Style:,Foundation,Security:,Cmplx Cnd,Xtra Field 1:,Remodel Ext:,Super
J. Crew,29 BROADWAY,YALE UNIVERSITY,100123,260/  0307/  01201/  / ,260 0307 01201,2,2001,"33,331","$3,772,269 ",30,"$1,131,700 ",0.62,0,,"$368,060 ",904C,PVT UNIV  MDL-94,BA,DT,"Category
			",2001,"33,331","$3,772,269 ",30,"$1,131,700 ",2018,"$1,283,030 ","$368,060 ","$1,651,090 ",NA,NA,NA,2,5,Brick,Stucco,NA,T&G/Rubber,Drywall/Plaste,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Mix Ret Off,Commercial,Very Good,Steel Frm/Trus,Fin WD/Carpet,Quarry Tile,Oil/Gas,FA/HW/ST,Central,PVT UNIV  MDL-94,,0,0,9045,HEAT/AC PKGS,FIREPRF STEEL,AVERAGE,SUS-CEIL & WL,AVERAGE,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yale College Dean's Office,55 WHITNEY AV #1,YALE UNIVERSITY,100882,223/  0382/  00168/  / ,223 0382 00168,1,1988,"2,775","$599,560 ",80,"$479,600 ",0,,,$0 ,3401,OFF CONDO  MDL-06,PDD 27,4,"Category
			",1988,"2,775","$599,560 ",80,"$479,600 ",2018,"$349,580 ",$0 ,"$349,580 ",NA,NA,NA,<chr>,<chr>,NA,NA,NA,<chr>,NA,NA,NA,NA,NA,<chr>,<chr>,NA,NA,NA,NA,<chr>,<chr>,<chr>,NA,<chr>,<chr>,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>
Office of Career Strategy,55 WHITNEY AV #3,YALE UNIVERSITY,100884,223/  0382/  00170/  / ,223 0382 00170,1,1988,"8,918","$1,836,108 ",85,"$1,560,700 ",0,,,$0 ,9049,EX RET CND  MDL-06,PDD 27,DT,"Category
			",1988,"8,918","$1,836,108 ",85,"$1,560,700 ",2018,"$1,106,280 ",$0 ,"$1,106,280 ",NA,NA,NA,<chr>,<chr>,NA,NA,NA,<chr>,NA,NA,NA,NA,NA,<chr>,<chr>,NA,NA,NA,NA,<chr>,<chr>,<chr>,NA,<chr>,<chr>,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>
ROTC at Yale,55 WHITNEY AV #4,YALE UNIVERSITY,100885,223/  0382/  00171/  / ,223 0382 00171,1,1988,"17,475","$3,547,961 ",85,"$3,015,800 ",0,,,$0 ,9049,EX RET CND  MDL-06,PDD 27,DT,"Category
			",1988,"17,475","$3,547,961 ",85,"$3,015,800 ",2018,"$2,138,080 ",$0 ,"$2,138,080 ",NA,NA,NA,<chr>,<chr>,NA,NA,NA,<chr>,NA,NA,NA,NA,NA,<chr>,<chr>,NA,NA,NA,NA,<chr>,<chr>,<chr>,NA,<chr>,<chr>,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>
Center for International & Professional Experience,55 WHITNEY AV #5,YALE UNIVERSITY,100886,223/  0382/  00172/  / ,223 0382 00172,1,1988,"17,479","$4,037,245 ",85,"$3,431,700 ",0,,,$0 ,9109,EX OFF CND  MDL-06,PDD 27,4,"Category
			",1988,"17,479","$4,037,245 ",85,"$3,431,700 ",2018,"$2,429,210 ",$0 ,"$2,429,210 ",NA,NA,NA,<chr>,<chr>,NA,NA,NA,<chr>,NA,NA,NA,NA,NA,<chr>,<chr>,NA,NA,NA,NA,<chr>,<chr>,<chr>,NA,<chr>,<chr>,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>
Conferences & Events,55 WHITNEY AV #6,YALE UNIVERSITY,100888,223/  0382/  00173/  / ,223 0382 00173,1,1988,"17,498","$4,041,634 ",85,"$3,435,400 ",0,,,$0 ,9109,EX OFF CND  MDL-06,PDD 27,4,"Category
			",1988,"17,498","$4,041,634 ",85,"$3,435,400 ",2018,"$2,431,870 ",$0 ,"$2,431,870 ",NA,NA,NA,<chr>,<chr>,NA,NA,NA,<chr>,NA,NA,NA,NA,NA,<chr>,<chr>,NA,NA,NA,NA,<chr>,<chr>,<chr>,NA,<chr>,<chr>,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>
Eli Whitney Students Program,55 WHITNEY AV #7,YALE UNIVERSITY,100889,223/  0382/  00174/  / ,223 0382 00174,1,1988,"11,261","$2,613,740 ",85,"$2,221,700 ",0,,,$0 ,9109,EX OFF CND  MDL-06,PDD 27,4,"Category
			",1988,"11,261","$2,613,740 ",85,"$2,221,700 ",2018,"$1,572,620 ",$0 ,"$1,572,620 ",NA,NA,NA,<chr>,<chr>,NA,NA,NA,<chr>,NA,NA,NA,NA,NA,<chr>,<chr>,NA,NA,NA,NA,<chr>,<chr>,<chr>,NA,<chr>,<chr>,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>,<chr>
NA,341 CROWN ST,YALE UNIVERSITY,101042,280/  0230/  02601/  / ,280 0230 02601,1,1900,"6,622","$871,671 ",41,"$357,400 ",0.32,,,"$175,420 ",904C,PVT UNIV  MDL-94,BA,DT,"Category
			",1900,"6,622","$871,671 ",41,"$357,400 ",2018,"$267,540 ","$175,420 ","$442,960 ",NA,NA,NA,1,2,Brick,,NA,T&G/Rubber,Drywall/Plaste,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Restaurant,Commercial,Above Average,Flat,Carpet,Fin WD/Carpet,Oil/Gas,Hot Water,Central,PVT UNIV  MDL-94,,0,0,904C,HEAT/AC SPLIT,MASONRY,AVERAGE,CEIL & WALLS,AVERAGE,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edgewood Gallery (School of Art),32 EDGEWOOD AV,YALE UNIVERSITY,104560,280/  0249/  02702/  / ,280 0249 02702,3,2007,"123,288","$11,396,743 ",100,"$11,396,700 ",1.69,,,"$1,439,830 ",904C,PVT UNIV  MDL-94,BA,DT,"Category
			",2007,"123,288","$11,396,743 ",100,"$11,396,700 ",2018,"$28,323,960 ","$1,439,830 ","$29,763,790 ",NA,NA,NA,5,,Concr/Cinder,,NA,Concrete Tile,Drywall/Plaste,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Parking Garage,Commercial,GRADE A++,Reinforc Concr,Linoleum,,Gas/Oil,FA/HW/ST,Partial,PARK GAR  MDL-94,,,,,HEAT/AC PKGS,MASONRY,AVERAGE,TYPICAL,AVERAGE,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prospect-Sachem Garage,200 PROSPECT ST,YALE UNIVERSITY,104580,246/  0362/  00102/  / ,246 0362 00102,8,1958,"55,880","$18,965,784 ",86,"$16,310,600 ",8.56,,,"$2,161,460 ",9040,PVT SCHOOL  MDL-94,,1600,"Category
			",1958,"55,880","$18,965,784 ",86,"$16,310,600 ",2018,"$23,087,190 ","$2,161,460 ","$25,248,650 ",NA,NA,NA,1,1,Pre-cast Concr,,NA,Enam Mtl Shing,Minim/Masonry,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Skating Arena,Commercial,Very Good,Bowstring Trus,Concr-Finished,,Gas/Oil,Hot Water,Central,PVT SCHOOL  MDL-94,,,,,HEAT/AC PKGS,MASONRY,AVERAGE,CEIL & WALLS,AVERAGE,30,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
